 # Paso_MC    Energia    Magnetizacion
       70000  -31578.0000       9050.00000    
       70100  -31866.0000       9154.00000    
       70200  -31722.0000       9156.00000    
       70300  -31998.0000       9232.00000    
       70400  -31862.0000       9174.00000    
       70500  -31566.0000       9042.00000    
       70600  -31650.0000       9160.00000    
       70700  -31530.0000       8958.00000    
       70800  -31758.0000       9130.00000    
       70900  -31682.0000       9098.00000    
       71000  -31682.0000       9086.00000    
       71100  -31902.0000       9248.00000    
       71200  -31338.0000       8956.00000    
       71300  -31582.0000       8958.00000    
       71400  -31614.0000       9048.00000    
       71500  -31794.0000       9122.00000    
       71600  -31710.0000       9156.00000    
       71700  -31986.0000       9232.00000    
       71800  -31666.0000       9100.00000    
       71900  -32166.0000       9324.00000    
       72000  -31810.0000       9124.00000    
       72100  -31694.0000       8978.00000    
       72200  -31582.0000       9092.00000    
       72300  -31454.0000       9014.00000    
       72400  -31570.0000       9040.00000    
       72500  -31794.0000       9136.00000    
       72600  -31786.0000       9128.00000    
       72700  -31738.0000       9092.00000    
       72800  -31978.0000       9258.00000    
       72900  -31658.0000       9098.00000    
       73000  -31270.0000       8938.00000    
       73100  -31894.0000       9194.00000    
       73200  -32010.0000       9266.00000    
       73300  -31666.0000       9080.00000    
       73400  -31294.0000       8876.00000    
       73500  -31490.0000       8980.00000    
       73600  -31462.0000       8984.00000    
       73700  -31614.0000       9098.00000    
       73800  -31678.0000       8974.00000    
       73900  -31374.0000       9020.00000    
       74000  -31726.0000       9140.00000    
       74100  -31654.0000       9120.00000    
       74200  -31622.0000       9140.00000    
       74300  -31810.0000       9218.00000    
       74400  -31482.0000       8954.00000    
       74500  -31674.0000       9030.00000    
       74600  -31590.0000       9002.00000    
       74700  -31554.0000       9054.00000    
       74800  -31778.0000       9122.00000    
       74900  -31714.0000       9106.00000    
       75000  -31686.0000       9096.00000    
       75100  -31938.0000       9200.00000    
       75200  -31862.0000       9168.00000    
       75300  -31898.0000       9144.00000    
       75400  -31834.0000       9118.00000    
       75500  -31670.0000       9112.00000    
       75600  -31518.0000       8962.00000    
       75700  -31666.0000       9142.00000    
       75800  -31998.0000       9250.00000    
       75900  -31894.0000       9186.00000    
       76000  -31738.0000       9122.00000    
       76100  -31546.0000       9052.00000    
       76200  -31410.0000       9070.00000    
       76300  -32070.0000       9222.00000    
       76400  -31718.0000       9138.00000    
       76500  -31706.0000       9068.00000    
       76600  -31830.0000       9166.00000    
       76700  -31866.0000       9200.00000    
       76800  -31498.0000       8918.00000    
       76900  -31546.0000       8990.00000    
       77000  -31858.0000       9152.00000    
       77100  -31498.0000       8966.00000    
       77200  -31818.0000       9130.00000    
